set,size,prediction,label,concurrent_nodes
train,3.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,6.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,6.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,2.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,2.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,7.0,3.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,5.0,3.0,5.0,0.0
train,3.0,3.0,5.0,0.0
train,7.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,1.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,2.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,5.0,3.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,6.0,3.0,2.0,0.0
train,9.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,3.0,7.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,8.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,5.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,5.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,6.0,2.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,3.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,6.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,3.0,3.0,0.0
train,6.0,3.0,3.0,0.0
train,7.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,6.0,3.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,5.0,0.0
train,3.0,2.0,1.0,0.0
train,4.0,3.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,2.0,0.0
train,5.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,2.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,6.0,3.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,3.0,1.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,3.0,0.0
train,6.0,3.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,6.0,3.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,2.0,2.0,0.0
train,6.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,4.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,7.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,5.0,3.0,3.0,0.0
train,6.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,5.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,7.0,3.0,2.0,0.0
train,3.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,6.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,5.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,5.0,0.0
train,4.0,3.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,6.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,2.0,1.0,0.0
train,5.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,9.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,6.0,3.0,3.0,0.0
train,7.0,3.0,3.0,0.0
train,4.0,3.0,5.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,2.0,2.0,0.0
train,5.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,8.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,5.0,0.0
train,5.0,3.0,5.0,0.0
train,5.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,4.0,3.0,5.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,1.0,0.0
train,4.0,3.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,6.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,6.0,2.0,3.0,0.0
train,5.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,5.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,9.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,3.0,0.0
train,5.0,2.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,3.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,7.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,4.0,3.0,5.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,3.0,0.0
train,7.0,3.0,2.0,0.0
train,6.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,5.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,5.0,0.0
train,4.0,3.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,5.0,3.0,5.0,0.0
train,5.0,3.0,5.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,2.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,4.0,3.0,5.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,2.0,2.0,0.0
train,2.0,2.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,3.0,3.0,5.0,0.0
train,5.0,3.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,2.0,5.0,0.0
train,2.0,2.0,1.0,0.0
train,5.0,3.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,6.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,2.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,5.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,2.0,3.0,0.0
train,5.0,3.0,3.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,7.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,3.0,2.0,1.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,6.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,7.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,3.0,3.0,0.0
train,6.0,3.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,4.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,3.0,0.0
train,8.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,6.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,3.0,5.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,7.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,3.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,6.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,6.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,4.0,3.0,2.0,0.0
train,5.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,6.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,2.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,8.0,3.0,5.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,2.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,6.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,6.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,7.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,5.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,4.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,5.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,2.0,1.0,0.0
train,3.0,2.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,7.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,3.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,1.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,4.0,3.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,3.0,3.0,0.0
train,7.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,3.0,2.0,0.0
train,3.0,3.0,5.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,4.0,3.0,5.0,0.0
train,5.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,5.0,3.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,8.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,2.0,1.0,0.0
train,3.0,3.0,5.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,1.0,0.0
train,3.0,3.0,5.0,0.0
train,4.0,3.0,3.0,0.0
train,4.0,3.0,3.0,0.0
train,2.0,2.0,2.0,0.0
train,6.0,3.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,4.0,2.0,3.0,0.0
train,3.0,2.0,2.0,0.0
train,2.0,2.0,2.0,0.0
train,3.0,3.0,3.0,0.0
train,2.0,2.0,1.0,0.0
train,4.0,3.0,2.0,0.0
train,3.0,2.0,2.0,0.0
train,6.0,3.0,3.0,0.0
train,3.0,3.0,5.0,0.0
